ts,crawl_done,index_done
2025-05-07T23:19:43.424322,0,0
2025-05-07T23:19:44.694985,0,0
2025-05-07T23:19:45.427413,0,0
2025-05-07T23:19:46.698303,0,0
2025-05-07T23:19:47.429846,0,0
2025-05-07T23:19:48.702025,0,0
2025-05-07T23:19:49.433223,0,0
2025-05-07T23:19:50.704646,0,0
2025-05-07T23:19:51.436604,0,0
2025-05-07T23:19:52.708220,0,0
2025-05-07T23:19:53.438729,0,0
2025-05-07T23:19:54.710900,0,0
2025-05-07T23:19:55.441052,0,0
2025-05-07T23:19:56.714074,0,0
2025-05-07T23:19:57.443508,0,0
2025-05-07T23:19:58.716650,0,0
2025-05-07T23:19:59.446540,0,0
2025-05-07T23:20:00.719299,0,0
2025-05-07T23:20:01.447819,0,0
2025-05-07T23:20:02.719933,0,0
2025-05-07T23:20:03.450056,0,0
2025-05-07T23:20:04.723118,0,0
2025-05-07T23:20:05.453170,0,0
2025-05-07T23:20:06.725844,0,0
2025-05-07T23:20:07.455732,0,0
2025-05-07T23:20:08.728101,0,0
2025-05-07T23:20:09.458697,0,0
2025-05-07T23:20:10.731887,0,0
2025-05-07T23:20:11.462184,0,0
2025-05-07T23:20:12.735755,0,0
2025-05-07T23:20:13.464870,0,0
2025-05-07T23:20:14.738938,0,0
2025-05-07T23:20:15.467404,0,0
2025-05-07T23:20:16.741410,0,0
2025-05-07T23:20:17.470309,0,0
2025-05-07T23:20:18.743828,0,0
2025-05-07T23:20:19.473210,0,0
2025-05-07T23:20:20.747320,0,0
2025-05-07T23:20:21.477397,0,0
2025-05-07T23:20:22.750744,0,0
2025-05-07T23:20:23.480438,0,0
2025-05-07T23:20:24.753466,0,0
2025-05-07T23:20:25.482461,0,0
2025-05-07T23:20:26.755280,0,0
2025-05-07T23:20:27.484878,0,0
2025-05-07T23:20:28.758082,0,0
2025-05-07T23:20:29.487861,0,0
2025-05-07T23:20:30.761536,0,0
2025-05-07T23:20:31.489021,0,0
2025-05-07T23:20:32.765075,0,0
2025-05-07T23:20:33.491384,0,0
2025-05-07T23:20:34.765479,0,0
2025-05-07T23:20:35.493588,0,0
2025-05-07T23:20:36.768344,0,0
2025-05-07T23:20:37.495479,0,0
2025-05-07T23:20:38.771536,0,0
2025-05-07T23:20:39.498134,0,0
2025-05-07T23:20:40.776183,0,0
2025-05-07T23:20:41.500819,0,0
2025-05-07T23:20:42.778433,0,0
2025-05-07T23:20:43.503956,0,0
2025-05-07T23:20:44.781311,0,0
2025-05-07T23:20:45.506480,0,0
2025-05-07T23:20:46.783986,0,0
2025-05-07T23:20:47.508102,0,0
2025-05-07T23:20:48.786603,0,0
2025-05-07T23:20:49.511904,0,0
2025-05-07T23:20:50.791278,0,0
2025-05-07T23:20:51.513483,0,0
2025-05-07T23:20:52.794442,0,0
2025-05-07T23:20:53.516587,0,0
2025-05-07T23:20:54.797127,0,0
2025-05-07T23:20:55.518545,0,0
2025-05-07T23:20:56.800262,0,0
2025-05-07T23:20:57.521427,0,0
2025-05-07T23:20:58.803607,0,0
2025-05-07T23:20:59.524973,0,0
2025-05-07T23:21:00.808123,0,0
2025-05-07T23:21:01.526595,0,0
2025-05-07T23:21:02.809182,0,0
2025-05-07T23:21:03.528759,0,0
2025-05-07T23:21:04.811695,0,0
2025-05-07T23:21:05.531827,0,0
2025-05-07T23:21:06.815423,0,0
2025-05-07T23:21:07.534251,0,0
2025-05-07T23:21:08.818328,0,0
2025-05-07T23:21:09.537212,0,0
2025-05-07T23:21:10.821197,0,0
2025-05-07T23:21:11.540238,0,0
2025-05-07T23:21:12.823683,0,0
2025-05-07T23:21:13.542763,0,0
2025-05-07T23:21:14.826111,0,0
2025-05-07T23:21:15.546179,0,0
2025-05-07T23:21:16.828196,0,0
2025-05-07T23:21:17.549232,0,0
2025-05-07T23:21:18.831109,0,0
2025-05-07T23:21:19.551668,0,0
2025-05-07T23:21:20.833921,0,0
2025-05-07T23:21:21.554161,0,0
2025-05-07T23:21:22.836279,0,0
2025-05-07T23:21:23.556371,0,0
2025-05-07T23:21:24.839188,0,0
2025-05-07T23:21:25.559231,0,0
2025-05-07T23:21:26.842654,0,0
2025-05-07T23:21:27.562100,0,0
2025-05-07T23:21:28.846199,0,0
2025-05-07T23:21:29.564351,0,0
2025-05-07T23:21:30.848730,0,0
2025-05-07T23:21:31.564377,0,0
2025-05-07T23:21:32.849187,0,0
2025-05-07T23:21:33.565919,0,0
2025-05-07T23:21:34.851936,0,0
2025-05-07T23:21:35.567816,0,0
2025-05-07T23:21:36.854577,0,0
2025-05-07T23:21:37.571294,0,0
2025-05-07T23:21:38.856783,0,0
2025-05-07T23:21:39.573756,0,0
2025-05-07T23:21:40.859099,0,0
2025-05-07T23:21:41.575883,0,0
2025-05-07T23:21:42.861523,0,0
2025-05-07T23:21:43.578869,0,0
2025-05-07T23:21:44.863543,0,0
2025-05-07T23:21:45.581169,0,0
2025-05-07T23:21:46.866502,0,0
2025-05-07T23:21:47.583644,0,0
2025-05-07T23:21:48.869952,0,0
2025-05-07T23:21:49.586910,0,0
2025-05-07T23:21:50.872861,0,0
2025-05-07T23:21:51.588761,0,0
2025-05-07T23:21:52.875234,0,0
2025-05-07T23:21:53.590555,0,0
2025-05-07T23:21:54.878750,0,0
2025-05-07T23:21:55.593375,0,0
2025-05-07T23:21:56.881208,0,0
2025-05-07T23:21:57.596193,0,0
2025-05-07T23:21:58.883513,0,0
2025-05-07T23:21:59.598946,0,0
2025-05-07T23:22:00.886590,0,0
2025-05-07T23:22:01.601045,0,0
2025-05-07T23:22:02.887874,0,0
2025-05-07T23:22:03.603242,0,0
2025-05-07T23:22:04.891278,0,0
2025-05-07T23:22:05.605409,0,0
2025-05-07T23:22:06.893998,0,0
2025-05-07T23:22:07.607822,0,0
2025-05-07T23:22:08.896169,0,0
2025-05-07T23:22:09.610345,0,0
2025-05-07T23:22:10.899109,0,0
2025-05-07T23:22:11.612242,0,0
2025-05-07T23:22:12.901653,0,0
2025-05-07T23:22:13.614759,0,0
2025-05-07T23:22:14.904400,0,0
2025-05-07T23:22:15.617202,0,0
2025-05-07T23:22:16.907373,0,0
2025-05-07T23:22:17.619910,0,0
2025-05-07T23:22:18.910644,0,0
2025-05-07T23:22:19.621768,0,0
2025-05-07T23:22:20.913080,0,0
2025-05-07T23:22:21.623542,0,0
2025-05-07T23:22:22.915564,0,0
2025-05-07T23:22:23.625226,0,0
2025-05-07T23:22:24.918201,0,0
2025-05-07T23:22:25.627778,0,0
2025-05-07T23:22:26.920762,0,0
2025-05-07T23:22:27.629960,0,0
2025-05-07T23:22:28.923153,0,0
2025-05-07T23:22:29.631817,0,0
2025-05-07T23:22:30.925781,0,0
2025-05-07T23:22:31.631577,0,0
2025-05-07T23:22:32.926696,0,0
2025-05-07T23:22:33.634287,0,0
2025-05-07T23:22:34.928903,0,0
2025-05-07T23:22:35.637255,0,0
2025-05-07T23:22:36.931122,0,0
2025-05-07T23:22:37.638978,0,0
2025-05-07T23:22:38.933170,0,0
2025-05-07T23:22:39.641286,0,0
2025-05-07T23:22:40.935369,0,0
2025-05-07T23:22:41.643067,0,0
2025-05-07T23:22:42.939179,0,0
2025-05-07T23:22:43.644932,0,0
2025-05-07T23:22:44.941582,0,0
2025-05-07T23:22:45.647196,0,0
2025-05-07T23:22:46.944699,0,0
2025-05-07T23:22:47.649376,0,0
2025-05-07T23:22:48.947289,0,0
2025-05-07T23:22:49.651882,0,0
2025-05-07T23:22:50.949840,0,0
2025-05-07T23:22:51.654711,0,0
2025-05-07T23:22:52.951576,0,0
2025-05-07T23:22:53.656325,0,0
2025-05-07T23:22:54.954276,0,0
2025-05-07T23:22:55.658133,0,0
2025-05-07T23:22:56.956236,0,0
2025-05-07T23:22:57.659937,0,0
2025-05-07T23:22:58.959022,0,0
2025-05-07T23:22:59.661992,0,0
